,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ancud,75,CL,1563918605,100,-41.87,-73.83,33.8,2.91
1,Hermanus,96,ZA,1563897332,92,-34.42,19.24,55.0,18.01
2,Cape Town,75,ZA,1563897592,87,-33.93,18.42,55.99,28.86
3,Georgetown,20,GY,1563919951,100,6.8,-58.16,75.2,2.24
4,Sovetskiy,15,RU,1563902193,94,56.76,48.47,55.12,6.76
5,Znamenskoye,27,RU,1563896257,60,57.13,73.82,68.26,4.54
6,New Norfolk,75,AU,1563865408,54,-42.78,147.06,53.6,16.11
7,Busselton,100,AU,1563874355,84,-33.64,115.35,60.01,8.72
8,Tiksi,36,RU,0,32,71.64,128.87,71.14,25.75
9,Santa Maria,0,BR,1563915474,67,-16.02,-48.01,62.6,6.93
10,Praia,0,BR,1563914058,82,-20.25,-43.81,57.2,2.62
11,Port Alfred,0,ZA,1563895602,65,-33.59,26.89,55.99,4.0
12,Atuona,2,PF,1563851482,75,-9.8,-139.03,79.6,14.05
13,Vuktyl,3,RU,1563903797,72,63.86,57.31,66.28,10.49
14,Taoudenni,11,ML,1563908481,16,22.68,-3.98,90.76,3.94
15,Namatanai,98,PG,1563868480,85,-3.66,152.44,79.06,16.11
16,Mahibadhoo,100,MV,1563888211,75,3.78,72.97,83.92,11.54
17,Krivosheino,28,RU,1563893916,59,57.34,83.93,65.74,4.07
18,Jiangyou,2,CN,1563883459,52,31.78,104.73,81.94,5.3
19,Saint-Philippe,75,CA,1563928357,93,45.36,-73.48,68.0,4.79
20,Hithadhoo,48,MV,1563887797,75,-0.6,73.08,83.38,10.25
21,Vico Equense,0,IT,1563906417,88,40.66,14.43,75.99,1.12
22,Otane,89,NZ,1563858772,86,-39.89,176.62,51.01,1.01
23,Hambantota,20,LK,1563886464,70,6.12,81.12,86.0,11.41
24,Hailar,99,CN,1563882865,66,49.2,119.7,71.14,5.06
25,Charlottetown,90,CA,1563926051,77,46.23,-63.13,68.0,6.93
26,Yokadouma,53,CM,1563902089,99,3.52,15.05,66.28,1.97
27,Ashland,90,US,1563929351,94,38.48,-82.64,70.0,3.76
28,Baikunthpur,100,IN,1563887778,66,23.26,82.56,83.02,6.26
29,Ushuaia,75,AR,1563914500,97,-54.81,-68.31,32.0,16.11
30,Pevek,100,RU,0,98,69.7,170.27,31.72,12.55
31,Jamestown,46,AU,1563868827,61,-33.21,138.6,55.84,20.29
32,Bonthe,100,SL,1563909059,89,7.53,-12.5,75.64,14.03
33,Punta Arenas,20,CL,1563915585,80,-53.16,-70.91,33.8,24.16
34,Chara,20,GR,1563904295,78,39.42,22.43,77.0,4.7
35,Upernavik,0,GL,0,82,72.79,-56.15,43.6,8.3
36,Ribeira Grande,4,PT,1563916418,88,38.52,-28.7,71.86,17.92
37,Warman,40,CA,1563851611,56,52.32,-106.58,73.4,9.17
38,Necochea,0,AR,1563915490,96,-38.55,-58.74,34.0,4.65
39,Mataura,41,NZ,1563859560,93,-46.19,168.86,46.99,1.99
40,Khatanga,100,RU,0,55,71.98,102.47,60.16,14.07
41,Victoria,75,BN,1563878200,79,5.28,115.24,87.8,4.7
42,Avarua,24,CK,1563855379,73,-21.21,-159.78,75.2,14.99
43,Sturgeon Falls,90,CA,1563930108,87,46.36,-79.93,60.8,6.93
44,Hobart,75,AU,1563865326,54,-42.88,147.33,53.6,16.11
45,Madang,0,CN,1563884402,62,35.32,102.79,56.2,4.72
46,Cayenne,90,GF,1563918385,94,4.94,-52.33,75.2,3.31
47,Walvis Bay,0,NA,1563899784,96,-22.95,14.51,49.9,1.92
48,Longyearbyen,75,NO,0,81,78.22,15.63,46.4,2.24
49,Basco,1,US,1563845346,77,40.33,-91.2,70.0,7.9
